lapitinib,PLX4720,PI103,cell_line,BRAF_V600E,NRAS_Q61K,viability
-2.3025850929940455,3.2188758248682006,3.2188758248682006,SkMel,0,0,0.4454552027821005
3.2188758248682006,2.302585092994046,0,SkMel,0,1,0.9999561347766902
-2.3025850929940455,2.302585092994046,3.2188758248682006,SkMel,1,0,0.788836480545028
0,4.605170185988092,0,PIG3V,1,0,0.9464157876769093
2.302585092994046,0,-2.3025850929940455,PIG3V,1,0,0.9999065249664285
-2.3025850929940455,0,-2.3025850929940455,SkMel,1,0,0.9998625534649976
2.302585092994046,2.302585092994046,0,PIG3V,0,1,0.9708625946152194
0,-2.3025850929940455,2.302585092994046,PIG3V,1,1,0.9839295751126926
0,4.605170185988092,0,SkMel,0,0,0.9046254928780613
0,4.605170185988092,2.302585092994046,SkMel,1,1,0.9869576390085825
0,-2.3025850929940455,3.2188758248682006,SkMel,1,1,0.4173891870066018
0,4.605170185988092,2.302585092994046,SkMel,0,1,0.9796413420236022
2.302585092994046,2.302585092994046,0,SkMel,1,0,0.9982974496590887
4.605170185988092,2.302585092994046,-2.3025850929940455,SkMel,0,0,0.9999905542061237
4.605170185988092,3.2188758248682006,4.605170185988092,PIG3V,0,1,0.9992015328025919
0,0,2.302585092994046,PIG3V,1,0,0.9598361694270351
0,4.605170185988092,4.605170185988092,PIG3V,0,0,0.9999782869810502
2.302585092994046,0,3.2188758248682006,PIG3V,0,0,0.9014640876760777
3.2188758248682006,-2.3025850929940455,0,SkMel,1,1,0.9999937699225354
2.302585092994046,-2.3025850929940455,0,PIG3V,0,1,0.999132958744467
-2.3025850929940455,0,0,PIG3V,0,0,0.9906605302714033
-2.3025850929940455,0,-2.3025850929940455,SkMel,0,0,0.9753121914659467
0,4.605170185988092,0,SkMel,1,1,0.9712915716860052
2.302585092994046,0,0,SkMel,0,0,0.9999631612146115
2.302585092994046,-2.3025850929940455,0,SkMel,0,1,0.9999839705505469
2.302585092994046,0,2.302585092994046,SkMel,1,1,0.9905840860054044
0,3.2188758248682006,0,PIG3V,1,0,0.981800882200204
-2.3025850929940455,4.605170185988092,0,SkMel,1,0,0.13752842076311644
2.302585092994046,0,0,PIG3V,0,1,0.9971948721904482
3.2188758248682006,3.2188758248682006,0,SkMel,1,1,0.9996490884081861
-2.3025850929940455,3.2188758248682006,0,PIG3V,0,0,0.9638430141565933
2.302585092994046,3.2188758248682006,0,SkMel,0,1,0.9963400943262167
0,3.2188758248682006,0,PIG3V,0,1,0.9385312678036051
3.2188758248682006,0,2.302585092994046,SkMel,1,1,0.9995722531972362
-2.3025850929940455,2.302585092994046,-2.3025850929940455,PIG3V,1,1,0.9938004817335887
0,2.302585092994046,3.2188758248682006,SkMel,1,1,0.9933977003171356
3.2188758248682006,3.2188758248682006,0,PIG3V,1,1,0.899343108889483
-2.3025850929940455,3.2188758248682006,0,SkMel,1,1,0.634586238354639
-2.3025850929940455,2.302585092994046,3.2188758248682006,SkMel,0,0,0.9343954008389019
4.605170185988092,3.2188758248682006,2.302585092994046,PIG3V,1,0,0.9862779115171214
4.605170185988092,3.2188758248682006,4.605170185988092,PIG3V,0,0,0.9998598341629183
-2.3025850929940455,2.302585092994046,0,PIG3V,0,1,0.9888223631976231
3.2188758248682006,0,0,SkMel,1,1,0.9999569711807965
3.2188758248682006,-2.3025850929940455,2.302585092994046,PIG3V,1,0,0.9264232851642286
0,4.605170185988092,4.605170185988092,SkMel,1,1,0.9999709120587812
2.302585092994046,3.2188758248682006,0,SkMel,1,1,0.9973480356948771
-2.3025850929940455,-2.3025850929940455,-2.3025850929940455,SkMel,1,1,0.9999917779702281
0,0,0,SkMel,1,0,0.9985623618310756
0,0,3.2188758248682006,PIG3V,1,0,0.8100880810987267
4.605170185988092,-2.3025850929940455,3.2188758248682006,SkMel,1,0,0.9972053869240783
-2.3025850929940455,0,0,SkMel,0,0,0.8246577810999625
4.605170185988092,0,2.302585092994046,PIG3V,0,0,0.9634675379603598
0,-2.3025850929940455,2.302585092994046,PIG3V,1,1,0.8038210242824585
4.605170185988092,2.302585092994046,4.605170185988092,SkMel,1,0,0.999988509383544
-2.3025850929940455,-2.3025850929940455,2.302585092994046,PIG3V,0,0,0.7223339547369935
4.605170185988092,2.302585092994046,3.2188758248682006,PIG3V,1,1,0.9637633411225506
3.2188758248682006,2.302585092994046,2.302585092994046,SkMel,1,0,0.9998553435351234
3.2188758248682006,2.302585092994046,2.302585092994046,PIG3V,1,0,0.9876416610619562
0,0,2.302585092994046,PIG3V,1,1,0.9941139664914053
4.605170185988092,0,0,PIG3V,0,1,0.9996037230496295
0,2.302585092994046,2.302585092994046,SkMel,0,0,0.9860405351159355
3.2188758248682006,3.2188758248682006,-2.3025850929940455,PIG3V,0,1,0.4137782392843325
-2.3025850929940455,2.302585092994046,2.302585092994046,PIG3V,1,0,0.9710189715879336
3.2188758248682006,0,0,PIG3V,1,0,0.9090440479484687
2.302585092994046,-2.3025850929940455,-2.3025850929940455,SkMel,0,0,0.9999999296733083
2.302585092994046,0,-2.3025850929940455,SkMel,1,1,0.999996928106505
0,4.605170185988092,2.302585092994046,PIG3V,0,1,0.9954629417109987
-2.3025850929940455,4.605170185988092,-2.3025850929940455,PIG3V,1,1,0.748728163964913
2.302585092994046,3.2188758248682006,3.2188758248682006,SkMel,0,1,0.9997163597916288
4.605170185988092,4.605170185988092,0,SkMel,0,0,0.9985332056338181
0,0,0,SkMel,0,0,0.9014791835845343
3.2188758248682006,0,0,PIG3V,0,0,0.9923296194754199
0,2.302585092994046,2.302585092994046,SkMel,0,0,0.9961878785471148
2.302585092994046,2.302585092994046,0,SkMel,0,1,0.9958697969990794
0,-2.3025850929940455,0,SkMel,0,1,0.998463583542518
-2.3025850929940455,2.302585092994046,2.302585092994046,PIG3V,1,1,0.9902818503181708
2.302585092994046,0,4.605170185988092,SkMel,1,0,0.5875177057060572
2.302585092994046,-2.3025850929940455,2.302585092994046,SkMel,0,0,0.9856828297725853
4.605170185988092,0,2.302585092994046,SkMel,0,1,0.99997088971593
-2.3025850929940455,0,0,PIG3V,1,0,0.9888223710905514
0,0,0,SkMel,1,0,0.9927582449703463
0,2.302585092994046,4.605170185988092,PIG3V,1,0,0.9832026493596263
3.2188758248682006,0,0,SkMel,1,0,0.9999841686149707
-2.3025850929940455,2.302585092994046,2.302585092994046,SkMel,1,0,0.6873392030480031
0,2.302585092994046,0,PIG3V,0,0,0.9932553547314565
3.2188758248682006,2.302585092994046,0,SkMel,1,0,0.9989277546220728
0,0,0,SkMel,0,0,0.9954955141685621
0,2.302585092994046,0,PIG3V,1,0,0.9798762275649077
2.302585092994046,0,0,PIG3V,1,0,0.9963958950122614
2.302585092994046,0,0,PIG3V,1,1,0.9947893177411121
0,3.2188758248682006,3.2188758248682006,PIG3V,0,0,0.999582125666506
3.2188758248682006,0,-2.3025850929940455,PIG3V,1,0,0.999877820411313
0,-2.3025850929940455,-2.3025850929940455,SkMel,0,0,0.9999998152915127
3.2188758248682006,2.302585092994046,4.605170185988092,SkMel,1,0,0.9999965441357436
4.605170185988092,3.2188758248682006,0,SkMel,0,0,0.9999907570127008
3.2188758248682006,0,2.302585092994046,PIG3V,0,1,0.6225751352346225
2.302585092994046,4.605170185988092,0,SkMel,0,1,0.998451286569109
0,0,0,SkMel,0,0,0.9948548629468147
0,-2.3025850929940455,-2.3025850929940455,PIG3V,1,0,0.9999984855096853
0,3.2188758248682006,0,SkMel,1,1,0.7863036825077424
2.302585092994046,3.2188758248682006,0,PIG3V,0,0,0.9779810578231893
3.2188758248682006,2.302585092994046,0,SkMel,1,1,0.9993379124426068
0,3.2188758248682006,2.302585092994046,PIG3V,0,0,0.997008813193481
4.605170185988092,0,4.605170185988092,SkMel,0,1,0.9994176088146749
0,0,0,PIG3V,0,1,0.9987750071249668
4.605170185988092,0,3.2188758248682006,PIG3V,1,0,0.8935571281892262
2.302585092994046,0,-2.3025850929940455,PIG3V,1,0,0.9998220060203166
0,2.302585092994046,-2.3025850929940455,SkMel,0,0,0.9623865490319111
3.2188758248682006,2.302585092994046,3.2188758248682006,SkMel,0,1,0.9999350547804572
0,3.2188758248682006,0,SkMel,0,0,0.8200203565044833
3.2188758248682006,0,3.2188758248682006,SkMel,0,1,0.9998509104847435
2.302585092994046,3.2188758248682006,3.2188758248682006,SkMel,1,1,0.9996743895951873
3.2188758248682006,2.302585092994046,0,SkMel,1,1,0.9991420289314472
2.302585092994046,0,0,PIG3V,1,0,0.998820293005781
-2.3025850929940455,0,2.302585092994046,SkMel,0,0,0.044734885996950045
0,3.2188758248682006,4.605170185988092,SkMel,1,0,0.9973444525574945
4.605170185988092,0,2.302585092994046,PIG3V,1,1,0.8392601465103081
4.605170185988092,3.2188758248682006,3.2188758248682006,PIG3V,1,0,0.8851850879356696
3.2188758248682006,3.2188758248682006,0,PIG3V,0,0,0.9193744294339563
3.2188758248682006,0,3.2188758248682006,PIG3V,0,1,0.5082719720111221
-2.3025850929940455,0,-2.3025850929940455,SkMel,1,1,0.9993665799596353
0,-2.3025850929940455,3.2188758248682006,PIG3V,0,1,0.3197691297662948
4.605170185988092,0,3.2188758248682006,SkMel,1,0,0.9994654870669054
3.2188758248682006,0,2.302585092994046,PIG3V,1,1,0.8596786618594278
-2.3025850929940455,2.302585092994046,0,PIG3V,0,0,0.9871182978065922
4.605170185988092,0,0,SkMel,0,0,0.9998855339142085
-2.3025850929940455,0,0,PIG3V,1,1,0.99645085893018015
-2.3025850929940455,2.302585092994046,-2.3025850929940455,SkMel,1,0,0.6620170252270089
2.302585092994046,0,-2.3025850929940455,SkMel,0,1,0.9999975491750475
4.605170185988092,-2.3025850929940455,3.2188758248682006,PIG3V,0,1,0.6018663070063527
-2.3025850929940455,0,-2.3025850929940455,PIG3V,0,0,0.9999372020225102
0,0,0,SkMel,1,1,0.9857319003040892
3.2188758248682006,0,4.605170185988092,PIG3V,0,0,0.3111882972623101
0,4.605170185988092,0,SkMel,1,1,0.9801206401858055
0,-2.3025850929940455,4.605170185988092,PIG3V,1,1,4.2891491709910143e-4
4.605170185988092,-2.3025850929940455,2.302585092994046,SkMel,0,1,0.9998675913286348
-2.3025850929940455,0,3.2188758248682006,SkMel,0,1,0.46263522703099624
2.302585092994046,4.605170185988092,0,SkMel,1,0,0.9647742312528325
-2.3025850929940455,4.605170185988092,-2.3025850929940455,PIG3V,1,0,0.4092176433640493
3.2188758248682006,0,3.2188758248682006,SkMel,1,1,0.9991180509053913
0,0,0,SkMel,0,0,0.9977111857920696
-2.3025850929940455,3.2188758248682006,-2.3025850929940455,PIG3V,0,0,0.7120305307791099
-2.3025850929940455,0,3.2188758248682006,SkMel,1,1,0.057489271913663306
2.302585092994046,4.605170185988092,2.302585092994046,SkMel,1,1,0.999390646674759
-2.3025850929940455,3.2188758248682006,0,SkMel,0,0,0.7116194057856301
2.302585092994046,-2.3025850929940455,2.302585092994046,PIG3V,1,0,0.3553936880137359
4.605170185988092,4.605170185988092,-2.3025850929940455,SkMel,1,0,0.9964365525243989
3.2188758248682006,2.302585092994046,2.302585092994046,SkMel,1,1,0.9999384617950298
0,0,-2.3025850929940455,SkMel,0,1,0.99930770644363
4.605170185988092,-2.3025850929940455,0,SkMel,0,0,0.9999992851277036
-2.3025850929940455,0,2.302585092994046,PIG3V,1,0,0.9857584811798153
3.2188758248682006,-2.3025850929940455,-2.3025850929940455,PIG3V,0,0,0.9999982027463756
0,0,4.605170185988092,SkMel,0,0,0.5288260005486205
4.605170185988092,4.605170185988092,3.2188758248682006,SkMel,0,0,0.99999977821272
-2.3025850929940455,-2.3025850929940455,3.2188758248682006,PIG3V,1,1,0.013888996320442586
0,4.605170185988092,0,PIG3V,1,1,0.6367290415176934
3.2188758248682006,3.2188758248682006,-2.3025850929940455,SkMel,0,1,0.992194115104457
0,-2.3025850929940455,4.605170185988092,PIG3V,1,0,2.1166087389048544e-4
0,2.302585092994046,3.2188758248682006,PIG3V,0,0,0.9895806752315477
4.605170185988092,2.302585092994046,2.302585092994046,SkMel,1,0,0.9996493721444685
0,4.605170185988092,0,PIG3V,0,0,0.6019621816181534
0,3.2188758248682006,0,SkMel,1,1,0.7600654253430794
4.605170185988092,2.302585092994046,0,PIG3V,0,1,0.982269619197136
0,3.2188758248682006,4.605170185988092,SkMel,1,0,0.9937903479274581
3.2188758248682006,0,0,PIG3V,1,0,0.9993058274657924
2.302585092994046,0,-2.3025850929940455,SkMel,1,0,0.9999984026556528
4.605170185988092,2.302585092994046,0,PIG3V,1,1,0.9946590560426036
2.302585092994046,0,2.302585092994046,PIG3V,1,0,0.989564761862193
3.2188758248682006,0,4.605170185988092,SkMel,0,1,0.9454196053249899
0,4.605170185988092,4.605170185988092,PIG3V,0,1,0.9999971949617831
-2.3025850929940455,0,3.2188758248682006,SkMel,1,1,0.3879643666840648
0,2.302585092994046,2.302585092994046,SkMel,1,0,0.9952825108004872
0,4.605170185988092,2.302585092994046,SkMel,1,0,0.9818667400880654
2.302585092994046,-2.3025850929940455,0,SkMel,1,1,0.9999645058352093
-2.3025850929940455,0,2.302585092994046,PIG3V,0,1,0.9662906421020538
3.2188758248682006,-2.3025850929940455,0,PIG3V,1,0,0.9987409575905382
4.605170185988092,0,0,SkMel,1,0,0.9999985662118193
0,-2.3025850929940455,0,SkMel,0,0,0.9998221271080973
2.302585092994046,3.2188758248682006,0,SkMel,1,0,0.9994658317513966
2.302585092994046,0,4.605170185988092,PIG3V,1,1,0.161908601614026
0,0,3.2188758248682006,PIG3V,1,1,0.5601995893422229
0,4.605170185988092,3.2188758248682006,PIG3V,1,0,0.9996349028568757
0,2.302585092994046,-2.3025850929940455,PIG3V,0,0,0.9555087037322181
0,0,-2.3025850929940455,PIG3V,0,1,0.9998768337037804
2.302585092994046,0,4.605170185988092,PIG3V,0,1,0.7170784004944057
3.2188758248682006,-2.3025850929940455,4.605170185988092,PIG3V,0,0,0.002184356974007382
4.605170185988092,3.2188758248682006,0,PIG3V,0,1,0.9475345483237095
-2.3025850929940455,4.605170185988092,-2.3025850929940455,SkMel,1,0,0.013906214939169341
0,0,4.605170185988092,SkMel,1,0,0.3344547637442407
2.302585092994046,3.2188758248682006,-2.3025850929940455,PIG3V,1,1,0.6907699171807983
0,-2.3025850929940455,0,SkMel,1,0,0.9994116767811169
3.2188758248682006,3.2188758248682006,4.605170185988092,PIG3V,1,0,0.9958049319410615
3.2188758248682006,4.605170185988092,3.2188758248682006,SkMel,0,0,0.9999996021114044
0,-2.3025850929940455,2.302585092994046,PIG3V,0,0,0.8055147611443568
4.605170185988092,-2.3025850929940455,0,PIG3V,1,1,0.9990415158533089
4.605170185988092,0,4.605170185988092,PIG3V,0,1,0.25705750534850125
3.2188758248682006,-2.3025850929940455,4.605170185988092,SkMel,1,1,0.20955705412610548
2.302585092994046,3.2188758248682006,4.605170185988092,PIG3V,0,0,0.9943605664104694
3.2188758248682006,4.605170185988092,3.2188758248682006,PIG3V,0,0,0.9998686718935657
4.605170185988092,-2.3025850929940455,-2.3025850929940455,PIG3V,0,0,0.9999996115392246
0,2.302585092994046,0,SkMel,1,1,0.9746140687990328
-2.3025850929940455,-2.3025850929940455,0,SkMel,0,0,0.9986228433787271
4.605170185988092,2.302585092994046,2.302585092994046,PIG3V,0,0,0.9152841446321369
4.605170185988092,0,0,SkMel,0,1,0.9999979337848288
3.2188758248682006,-2.3025850929940455,-2.3025850929940455,SkMel,0,1,0.9999999770180396
4.605170185988092,4.605170185988092,-2.3025850929940455,SkMel,0,1,0.9769567441196679
4.605170185988092,2.302585092994046,0,SkMel,1,1,0.9999900367853851
4.605170185988092,4.605170185988092,3.2188758248682006,PIG3V,1,0,0.9988476837578645
3.2188758248682006,2.302585092994046,0,PIG3V,1,0,0.9155060181770128
0,3.2188758248682006,4.605170185988092,PIG3V,1,1,0.9988378745134249
2.302585092994046,-2.3025850929940455,4.605170185988092,PIG3V,0,1,0.008154153079928134
3.2188758248682006,0,4.605170185988092,PIG3V,0,0,0.6608454535567331
-2.3025850929940455,0,4.605170185988092,SkMel,1,1,0.11113822730201764
0,0,0,SkMel,1,1,0.9970677079154521
0,4.605170185988092,4.605170185988092,PIG3V,1,1,0.9998844776642387
0,4.605170185988092,0,SkMel,0,0,0.9764457151176591
0,4.605170185988092,0,PIG3V,0,0,0.7939799873598671
-2.3025850929940455,4.605170185988092,0,SkMel,1,1,0.2182539180029752
2.302585092994046,-2.3025850929940455,-2.3025850929940455,SkMel,1,1,0.9999999979015279
0,0,3.2188758248682006,SkMel,0,1,0.5993317642533453
0,0,4.605170185988092,SkMel,0,0,0.9175325741153918
2.302585092994046,2.302585092994046,2.302585092994046,SkMel,0,0,0.9991669351530569
3.2188758248682006,0,3.2188758248682006,SkMel,0,0,0.998984174021734
0,2.302585092994046,3.2188758248682006,SkMel,1,1,0.9969046095042041
4.605170185988092,0,-2.3025850929940455,PIG3V,0,0,0.9996078605407039
0,-2.3025850929940455,0,PIG3V,0,0,0.9990272665586494
4.605170185988092,2.302585092994046,2.302585092994046,PIG3V,1,1,0.9777135210504185
0,0,2.302585092994046,SkMel,0,0,0.9860197038737692
2.302585092994046,3.2188758248682006,-2.3025850929940455,PIG3V,0,0,0.9500768810351483
3.2188758248682006,0,0,SkMel,1,0,0.9999872662505381
0,-2.3025850929940455,2.302585092994046,SkMel,1,0,0.922842815398668
0,4.605170185988092,-2.3025850929940455,PIG3V,1,1,0.3114475507654782
0,0,-2.3025850929940455,SkMel,0,1,0.9993425163204983
2.302585092994046,2.302585092994046,3.2188758248682006,PIG3V,0,1,0.9943099062803138
0,4.605170185988092,-2.3025850929940455,SkMel,1,1,0.07998120654429557
3.2188758248682006,0,0,SkMel,1,1,0.9999983729221076
2.302585092994046,4.605170185988092,-2.3025850929940455,PIG3V,0,0,0.16366409150012606
2.302585092994046,0,-2.3025850929940455,PIG3V,0,0,0.9997215856479384
0,3.2188758248682006,2.302585092994046,PIG3V,1,1,0.996457851739721
-2.3025850929940455,4.605170185988092,0,SkMel,0,1,0.050202789191683014
3.2188758248682006,-2.3025850929940455,-2.3025850929940455,SkMel,1,1,0.9999999932126289
-2.3025850929940455,4.605170185988092,-2.3025850929940455,SkMel,0,0,0.002572480892268759
0,0,0,PIG3V,0,0,0.9991090431761525
4.605170185988092,2.302585092994046,4.605170185988092,SkMel,0,1,0.999999930152194
3.2188758248682006,4.605170185988092,4.605170185988092,SkMel,0,0,0.9999999302090756
0,2.302585092994046,0,SkMel,0,0,0.9391848168195137
0,2.302585092994046,0,PIG3V,0,0,0.9828870812505325
2.302585092994046,-2.3025850929940455,2.302585092994046,PIG3V,0,1,0.7574731442535606
4.605170185988092,2.302585092994046,0,PIG3V,1,0,0.9754693083742784
0,2.302585092994046,0,PIG3V,0,1,0.6334608189290072
3.2188758248682006,2.302585092994046,2.302585092994046,SkMel,0,1,0.9997376445611071
0,4.605170185988092,0,SkMel,0,0,0.760687632398293
-2.3025850929940455,-2.3025850929940455,-2.3025850929940455,PIG3V,1,0,0.9999999391232143
0,-2.3025850929940455,2.302585092994046,PIG3V,0,0,0.8517748580887202
2.302585092994046,3.2188758248682006,2.302585092994046,SkMel,1,0,0.9999527081479279
0,-2.3025850929940455,3.2188758248682006,SkMel,0,0,0.03597896899938871
0,4.605170185988092,-2.3025850929940455,PIG3V,1,0,0.23077067083773123
4.605170185988092,-2.3025850929940455,4.605170185988092,PIG3V,0,1,0.005759956150542282
-2.3025850929940455,2.302585092994046,3.2188758248682006,PIG3V,1,0,0.9837233677903157
0,2.302585092994046,-2.3025850929940455,SkMel,0,1,0.749156444856354
3.2188758248682006,0,-2.3025850929940455,SkMel,1,1,0.9999991630286105
2.302585092994046,2.302585092994046,-2.3025850929940455,PIG3V,1,1,0.9955022665642428
4.605170185988092,-2.3025850929940455,0,SkMel,0,1,0.9999993226326948
2.302585092994046,3.2188758248682006,2.302585092994046,PIG3V,0,1,0.9920861380855062
2.302585092994046,-2.3025850929940455,3.2188758248682006,SkMel,0,0,0.9662062651013112
-2.3025850929940455,2.302585092994046,4.605170185988092,SkMel,1,0,0.8399733064469417
2.302585092994046,0,-2.3025850929940455,PIG3V,1,1,0.9999585856745562
0,0,0,PIG3V,0,1,0.9981115112318125
2.302585092994046,0,3.2188758248682006,SkMel,1,1,0.9694423503498154
0,4.605170185988092,3.2188758248682006,SkMel,0,0,0.9996974190149034
4.605170185988092,4.605170185988092,0,PIG3V,0,0,0.6842229241791337
3.2188758248682006,-2.3025850929940455,0,SkMel,0,1,0.999972390169086
4.605170185988092,-2.3025850929940455,4.605170185988092,SkMel,0,1,0.7597942967468699
3.2188758248682006,0,-2.3025850929940455,SkMel,1,1,0.9999998497953623
3.2188758248682006,4.605170185988092,0,SkMel,0,1,0.9985281512562227
0,0,-2.3025850929940455,SkMel,0,0,0.9997817935904433
3.2188758248682006,-2.3025850929940455,4.605170185988092,PIG3V,1,0,0.0013618307715199261
0,0,4.605170185988092,SkMel,1,1,0.48548918089766896
-2.3025850929940455,0,0,SkMel,0,1,0.9237545600646745
2.302585092994046,-2.3025850929940455,2.302585092994046,PIG3V,1,1,0.3794598215767305
0,2.302585092994046,3.2188758248682006,SkMel,0,1,0.974798381267177
2.302585092994046,4.605170185988092,0,PIG3V,1,0,0.9831442836097801
3.2188758248682006,2.302585092994046,2.302585092994046,PIG3V,1,1,0.9997234574823829
2.302585092994046,3.2188758248682006,0,SkMel,1,0,0.9971129516389985
0,4.605170185988092,2.302585092994046,PIG3V,0,1,0.9997483169021836
0,2.302585092994046,3.2188758248682006,SkMel,1,0,0.9791853101229945
4.605170185988092,0,2.302585092994046,SkMel,1,0,0.9999703293195877
-2.3025850929940455,3.2188758248682006,-2.3025850929940455,SkMel,0,0,0.14918561507242578
4.605170185988092,2.302585092994046,0,PIG3V,0,1,0.9897336968305496
4.605170185988092,3.2188758248682006,2.302585092994046,PIG3V,0,0,0.9960940807909725
-2.3025850929940455,4.605170185988092,0,PIG3V,1,0,0.7993229618838497
4.605170185988092,3.2188758248682006,2.302585092994046,SkMel,0,0,0.9999992472574806
3.2188758248682006,2.302585092994046,-2.3025850929940455,SkMel,0,0,0.9999196669177594
0,0,-2.3025850929940455,PIG3V,0,1,0.9997188005157985
-2.3025850929940455,4.605170185988092,2.302585092994046,PIG3V,1,1,0.9984955881778054
-2.3025850929940455,3.2188758248682006,0,SkMel,0,1,0.25562323546485777
4.605170185988092,0,0,SkMel,1,0,0.9999971882047031
0,0,2.302585092994046,SkMel,0,0,0.9912723577130977
0,-2.3025850929940455,0,PIG3V,0,0,0.9993559283832075
4.605170185988092,-2.3025850929940455,4.605170185988092,SkMel,1,0,0.6489748163863585
0,-2.3025850929940455,0,PIG3V,1,0,0.9997788188045953
2.302585092994046,-2.3025850929940455,0,SkMel,0,1,0.9999698441425328
2.302585092994046,4.605170185988092,3.2188758248682006,PIG3V,0,1,0.9998847458209229
-2.3025850929940455,2.302585092994046,2.302585092994046,SkMel,1,1,0.30002833625829156
4.605170185988092,0,3.2188758248682006,PIG3V,0,1,0.9781744690389383
2.302585092994046,3.2188758248682006,4.605170185988092,PIG3V,0,1,0.9987773366154036
2.302585092994046,4.605170185988092,0,SkMel,1,0,0.9933420824444664
-2.3025850929940455,0,0,SkMel,1,1,0.9675713295579146
3.2188758248682006,0,2.302585092994046,SkMel,1,0,0.9988403870358635
0,3.2188758248682006,-2.3025850929940455,PIG3V,1,1,0.7199962955848606
4.605170185988092,2.302585092994046,2.302585092994046,PIG3V,0,1,0.9126438274579612
4.605170185988092,3.2188758248682006,2.302585092994046,SkMel,0,1,0.9999945992148604
3.2188758248682006,0,0,SkMel,0,0,0.99997101405363
0,2.302585092994046,0,PIG3V,1,1,0.9748358663715951
-2.3025850929940455,2.302585092994046,2.302585092994046,SkMel,0,1,0.7665182597875545
3.2188758248682006,3.2188758248682006,-2.3025850929940455,PIG3V,0,0,0.26024199897201034
2.302585092994046,2.302585092994046,-2.3025850929940455,SkMel,1,0,0.99826080029109
-2.3025850929940455,2.302585092994046,0,SkMel,1,1,0.34662821847010866
0,2.302585092994046,0,PIG3V,1,0,0.9900633106542462
2.302585092994046,0,4.605170185988092,PIG3V,0,1,0.8595094133978475
4.605170185988092,4.605170185988092,4.605170185988092,PIG3V,1,1,0.9999593905482491
0,4.605170185988092,3.2188758248682006,PIG3V,1,1,0.9975742437056923
0,3.2188758248682006,0,PIG3V,0,0,0.9909731095382062
2.302585092994046,-2.3025850929940455,2.302585092994046,SkMel,1,1,0.99380711157199
